---------------------------------------------------------------
Name                                      Type             Value
---------------------------------------------------------------
et.HOSTARCH                               string           UNIX
et.CS_ALLIED_MAPS_XP                      string           35
et.WP_NONE                                string           0
et.WP_K43_SCOPE                           string           41
et.MAX_SPLINE_CONFIGSTRINGS               string           8
et.MAX_TAGCONNECTS                        string           64
et.EXEC_NOW                               string           0
et.WP_NUM_WEAPONS                         string           54
et.CS_MULTI_OBJECTIVE                     string           15
et.MOD_GARAND_SCOPE                       string           46
et.CS_MAX                                 string           943
et.MOD_MORTAR                             string           52
et.WP_AKIMBO_SILENCEDCOLT                 string           45
et.WP_MEDIC_SYRINGE                       string           11
et.WP_MOBILE_BROWNING                     string           49
et.MOD_SATCHEL                            string           42
et.FS_APPEND                              string           2
et.EXEC_INSERT                            string           1
et.MOD_K43_SCOPE                          string           51
et.WP_MEDIC_ADRENALINE                    string           44
et.CS_GLOBALFOGVARS                       string           33
et.CS_LEVEL_START_TIME                    string           11
et.CS_CUSTMOTD                            string           905
et.WP_AMMO                                string           12
et.MOD_MACHINEGUN                         string           1
et.WP_LUGER                               string           2
et.CS_MUSIC                               string           2
et.MOD_SHOVE                              string           60
et.MOD_COLT                               string           7
et.CS_VOTE_YES                            string           8
et.WP_SILENCED_COLT                       string           39
et.CS_GAME_VERSION                        string           10
et.MOD_KNIFE_KABAR                        string           61
et.WP_AKIMBO_LUGER                        string           36
et.CS_FIRETEAMS                           string           893
et.WP_ARTY                                string           13
et.CS_MULTI_INFO                          string           13
et.WP_DYNAMITE                            string           15
et.MAX_CLIENTS                            string           64
et.WP_MP40                                string           3
et.MOD_GRENADE_PINEAPPLE                  string           18
et.WP_MEDKIT                              string           19
et.FS_WRITE                               string           1
et.CS_AXIS_MAPS_XP                        string           34
et.CS_VOTE_NO                             string           9
et.CS_MESSAGE                             string           3
et.MOD_TELEFRAG                           string           31
et.CS_CHARACTERS                          string           673
et.CS_FILTERCAMS                          string           39
et.MOD_SILENCED_COLT                      string           45
et.MOD_SWITCHTEAM                         string           59
et.CS_MAIN_ALLIES_OBJECTIVE               string           26
et.WP_FG42SCOPE                           string           42
et.CS_SCRIPT_MOVER_NAMES                  string           28
et.CS_SKINS                               string           609
et.CS_FIRSTBLOOD                          string           22
et.WP_SATCHEL                             string           27
et.MOD_GRENADE                            string           4
et.MAX_MODELS                             string           256
et.MAX_MOTDLINES                          string           6
et.CS_MULTI_MAPWINNER                     string           14
et.WP_GRENADE_PINEAPPLE                   string           9
et.MOD_MP40                               string           8
et.MOD_MOBILE_MG42                        string           44
et.CS_SERVERINFO                          string           0
et.MAX_FIRETEAMS                          string           12
et.CS_SVCVAR                              string           41
et.MOD_CRUSH_CONSTRUCTIONDEATH_NOATTACKER string           49
et.MAX_CS_SHADERS                         string           32
et.WP_BINOCULARS                          string           20
et.MAX_OID_TRIGGERS                       string           18
et.CS_STRINGS                             string           911
et.CS_SKYBOXORG                           string           19
et.CS_TAGCONNECTS                         string           829
et.CS_MODELS                              string           64
et.WP_GRENADE_LAUNCHER                    string           4
et.WP_PANZERFAUST                         string           5
et.WP_DUMMY_MG42                          string           33
et.EXEC_APPEND                            string           2
et.MOD_BAZOOKA                            string           64
et.WP_MORTAR2_SET                         string           52
et.MOD_AMMO                               string           25
et.CS_MAIN_AXIS_OBJECTIVE                 string           25
et.CS_REINFSEEDS                          string           31
et.MOD_WATER                              string           27
et.MOD_CRUSH_CONSTRUCTION                 string           47
et.CS_ENDGAME_STATS                       string           37
et.MOD_SUICIDE                            string           33
et.CS_VOTE_STRING                         string           7
et.MOD_KNIFE                              string           5
et.CS_OID_TRIGGERS                        string           769
et.WP_KNIFE_KABAR                         string           48
et.MOD_MG42                               string           3
et.CS_ROUNDSCORES2                        string           24
et.WP_SATCHEL_DET                         string           28
et.WP_STEN                                string           10
et.SAY_TEAMNL                             string           3
et.WP_SMOKE_BOMB                          string           29
et.MOD_GPG40                              string           39
et.MOD_UNKNOWN                            string           0
et.WP_LANDMINE                            string           26
et.MOD_THOMPSON                           string           9
et.WP_KNIFE                               string           1
et.MOD_SWAP_PLACES                        string           58
et.MOD_MAPMORTAR_SPLASH                   string           20
et.CS_FOGVARS                             string           18
et.CS_LEGACYINFO                          string           40
et.WP_MORTAR                              string           34
et.CS_SCREENFADE                          string           17
et.CS_SPLINES                             string           821
et.MOD_AKIMBO_LUGER                       string           54
et.MOD_SYRINGE                            string           24
et.MOD_SMOKEBOMB                          string           43
et.CS_TEAMRESTRICTIONS                    string           43
et.MOD_NUM_MODS                           string           65
et.MAX_SOUNDS                             string           256
et.MOD_SLIME                              string           28
et.CS_CHARGETIMES                         string           38
et.MOD_K43                                string           50
et.CS_UPGRADERANGE                        string           44
et.MOD_GARAND                             string           11
et.WP_GPG40                               string           37
et.MAX_DLIGHT_CONFIGSTRINGS               string           16
et.MAX_MULTI_SPAWNTARGETS                 string           16
et.CS_INTERMISSION                        string           12
et.WP_PLIERS                              string           21
et.WP_SMOKE_MARKER                        string           22
et.MOD_LUGER                              string           6
et.MOD_STEN                               string           10
et.MOD_TARGET_LASER                       string           34
et.MOD_MORTAR2                            string           63
et.SAY_TEAM                               string           1
et.MOD_EXPLOSIVE                          string           36
et.MOD_MOBILE_BROWNING                    string           62
et.MOD_SMOKEGRENADE                       string           57
et.MOD_AKIMBO_COLT                        string           53
et.MOD_AKIMBO_SILENCEDCOLT                string           55
et.WP_MORTAR_SET                          string           43
et.CS_DLIGHTS                             string           805
et.MOD_CRUSH_CONSTRUCTIONDEATH            string           48
et.CS_MUSIC_QUEUE                         string           27
et.MOD_AKIMBO_SILENCEDLUGER               string           56
et.CS_CONFIGNAME                          string           42
et.WP_MAPMORTAR                           string           17
et.WP_MOBILE_MG42                         string           30
